problem_id,statement,language,code,human_generated
p00004,"Simultaneous Equation
Write a program which solve a simultaneous equation:
ax + by = c
dx + ey = f
The program should print
x
and
y
for given
a
,
b
,
c
,
d
,
e
and
f
(-1,000 ≤
a, b, c, d, e, f
≤ 1,000). You can suppose that given equation has a unique solution.
Input
The input consists of several data sets, 1 line for each data set. In a data set, there will be
a, b, c, d, e, f
separated by a single space. The input terminates with EOF.
Output
For each data set, print
x
and
y
separated by a single space. Print the solution to three places of decimals. Round off the solution to three decimal places.
Sample Input 1
1 2 3 4 5 6
2 -1 -2 -1 -1 -5
Output for the Sample Input 1
-1.000 2.000
1.000 4.000
Sample Input 2
2 -1 -3 1 -1 -3
2 -1 -3 -9 9 27
Output for the Sample Input 2
0.000 3.000
0.000 3.000",C,"#include <stdio.h>

int main() {
    double a, b, c, d, e, f;
    
    while (scanf(""%lf %lf %lf %lf %lf %lf"", &a, &b, &c, &d, &e, &f) != EOF) {
        double x, y;
        double det = a * e - b * d;
        
        x = (c * e - b * f) / det;
        y = (a * f - c * d) / det;
        
        printf(""%.3f %.3f\n"", x, y);
    }
    
    return 0;
}
",0
p00004,"Simultaneous Equation
Write a program which solve a simultaneous equation:
ax + by = c
dx + ey = f
The program should print
x
and
y
for given
a
,
b
,
c
,
d
,
e
and
f
(-1,000 ≤
a, b, c, d, e, f
≤ 1,000). You can suppose that given equation has a unique solution.
Input
The input consists of several data sets, 1 line for each data set. In a data set, there will be
a, b, c, d, e, f
separated by a single space. The input terminates with EOF.
Output
For each data set, print
x
and
y
separated by a single space. Print the solution to three places of decimals. Round off the solution to three decimal places.
Sample Input 1
1 2 3 4 5 6
2 -1 -2 -1 -1 -5
Output for the Sample Input 1
-1.000 2.000
1.000 4.000
Sample Input 2
2 -1 -3 1 -1 -3
2 -1 -3 -9 9 27
Output for the Sample Input 2
0.000 3.000
0.000 3.000",C,"#include <stdio.h>

int main( void )
{
    int a,b,c,d,e,f;
    float x,y;
    
    while(scanf(""%d %d %d %d %d %d"",&a,&b,&c,&d,&e,&f)!=-1){    
        y = (float)( c*d -a*f ) / (b*d-a*e); 
        x = (float)( c*e -b*f ) / (a*e-b*d);
        if(-0.0005<x && x<=0 ){
            x = 0;
        }
        if(-0.0005<y && y<=0 ){
            y = 0;
        }
        printf( ""%.3lf %.3f\n"",x,y); 
    }
    return 0;
}",1
p00004,"Simultaneous Equation
Write a program which solve a simultaneous equation:
ax + by = c
dx + ey = f
The program should print
x
and
y
for given
a
,
b
,
c
,
d
,
e
and
f
(-1,000 ≤
a, b, c, d, e, f
≤ 1,000). You can suppose that given equation has a unique solution.
Input
The input consists of several data sets, 1 line for each data set. In a data set, there will be
a, b, c, d, e, f
separated by a single space. The input terminates with EOF.
Output
For each data set, print
x
and
y
separated by a single space. Print the solution to three places of decimals. Round off the solution to three decimal places.
Sample Input 1
1 2 3 4 5 6
2 -1 -2 -1 -1 -5
Output for the Sample Input 1
-1.000 2.000
1.000 4.000
Sample Input 2
2 -1 -3 1 -1 -3
2 -1 -3 -9 9 27
Output for the Sample Input 2
0.000 3.000
0.000 3.000",Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        
        while (sc.hasNext()) {
            double a = sc.nextDouble();
            double b = sc.nextDouble();
            double c = sc.nextDouble();
            double d = sc.nextDouble();
            double e = sc.nextDouble();
            double f = sc.nextDouble();
            
            double det = a * e - b * d;
            double x = (c * e - b * f) / det;
            double y = (a * f - c * d) / det;
            
            System.out.printf(""%.3f %.3f%n"", x, y);
        }
        
        sc.close();
    }
}
",0
p00004,"Simultaneous Equation
Write a program which solve a simultaneous equation:
ax + by = c
dx + ey = f
The program should print
x
and
y
for given
a
,
b
,
c
,
d
,
e
and
f
(-1,000 ≤
a, b, c, d, e, f
≤ 1,000). You can suppose that given equation has a unique solution.
Input
The input consists of several data sets, 1 line for each data set. In a data set, there will be
a, b, c, d, e, f
separated by a single space. The input terminates with EOF.
Output
For each data set, print
x
and
y
separated by a single space. Print the solution to three places of decimals. Round off the solution to three decimal places.
Sample Input 1
1 2 3 4 5 6
2 -1 -2 -1 -1 -5
Output for the Sample Input 1
-1.000 2.000
1.000 4.000
Sample Input 2
2 -1 -3 1 -1 -3
2 -1 -3 -9 9 27
Output for the Sample Input 2
0.000 3.000
0.000 3.000",Java,"import java.io.*;

class Main {
	public static void main(String args[]) {
		try {
			BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
			String t[], s;
			double a[] = new double[6];
			while((s = reader.readLine())  != null) {
				t = s.split("" "");
				for(int i = 0;i < a.length;i++) {
					a[i] = Double.parseDouble(t[i]);
				}
				double z = a[0]*a[4]-a[1]*a[3];
				double x = (a[4]*a[2]-a[1]*a[5])/z;
				double y = (-a[3]*a[2]+a[0]*a[5])/z;

				if(x == -0.0)
					x = 0.0;
				if(y == -0.0)
					y = 0.0;
				System.out.printf(""%4.3f %4.3f\n"", x, y);

			}

		}
		catch(IOException e) {
			System.out.println(e);
		}
	}
}",1
p00004,"Simultaneous Equation
Write a program which solve a simultaneous equation:
ax + by = c
dx + ey = f
The program should print
x
and
y
for given
a
,
b
,
c
,
d
,
e
and
f
(-1,000 ≤
a, b, c, d, e, f
≤ 1,000). You can suppose that given equation has a unique solution.
Input
The input consists of several data sets, 1 line for each data set. In a data set, there will be
a, b, c, d, e, f
separated by a single space. The input terminates with EOF.
Output
For each data set, print
x
and
y
separated by a single space. Print the solution to three places of decimals. Round off the solution to three decimal places.
Sample Input 1
1 2 3 4 5 6
2 -1 -2 -1 -1 -5
Output for the Sample Input 1
-1.000 2.000
1.000 4.000
Sample Input 2
2 -1 -3 1 -1 -3
2 -1 -3 -9 9 27
Output for the Sample Input 2
0.000 3.000
0.000 3.000",Python,"import sys

for line in sys.stdin:
    a, b, c, d, e, f = map(float, line.split())
    
    # Using Cramer's rule
    # ax + by = c
    # dx + ey = f
    
    det = a * e - b * d
    
    if det != 0:
        x = (c * e - b * f) / det
        y = (a * f - c * d) / det
    else:
        # This shouldn't happen as per problem statement (unique solution)
        x = 0
        y = 0
    
    print(f""{x:.3f} {y:.3f}"")
",0
p00004,"Simultaneous Equation
Write a program which solve a simultaneous equation:
ax + by = c
dx + ey = f
The program should print
x
and
y
for given
a
,
b
,
c
,
d
,
e
and
f
(-1,000 ≤
a, b, c, d, e, f
≤ 1,000). You can suppose that given equation has a unique solution.
Input
The input consists of several data sets, 1 line for each data set. In a data set, there will be
a, b, c, d, e, f
separated by a single space. The input terminates with EOF.
Output
For each data set, print
x
and
y
separated by a single space. Print the solution to three places of decimals. Round off the solution to three decimal places.
Sample Input 1
1 2 3 4 5 6
2 -1 -2 -1 -1 -5
Output for the Sample Input 1
-1.000 2.000
1.000 4.000
Sample Input 2
2 -1 -3 1 -1 -3
2 -1 -3 -9 9 27
Output for the Sample Input 2
0.000 3.000
0.000 3.000",Python,"import sys
for line in sys.stdin:
    a,b,c,d,e,f = map(float, line.split())
    print((c*e-b*f)/(a*e-b*d), (a*f-c*d)/(a*e-b*d))",1
p00005,"GCD and LCM
Write a program which computes the greatest common divisor (GCD) and the least common multiple (LCM) of given
a
and
b
.
Input
Input consists of several data sets. Each data set contains
a
and
b
separated by a single space in a line. The input terminates with EOF.
Constraints
0 <
a, b
≤ 2,000,000,000
LCM(
a, b
) ≤ 2,000,000,000
The number of data sets ≤ 50
Output
For each data set, print GCD and LCM separated by a single space in a line.
Sample Input
8 6
50000000 30000000
Output for the Sample Input
2 24
10000000 150000000",C,"#include <stdio.h>

long long gcd(long long a, long long b) {
    while (b != 0) {
        long long temp = b;
        b = a % b;
        a = temp;
    }
    return a;
}

int main() {
    long long a, b;
    while (scanf(""%lld %lld"", &a, &b) != EOF) {
        long long g = gcd(a, b);
        long long lcm = (a / g) * b;
        printf(""%lld %lld\n"", g, lcm);
    }
    return 0;
}
",0
p00005,"GCD and LCM
Write a program which computes the greatest common divisor (GCD) and the least common multiple (LCM) of given
a
and
b
.
Input
Input consists of several data sets. Each data set contains
a
and
b
separated by a single space in a line. The input terminates with EOF.
Constraints
0 <
a, b
≤ 2,000,000,000
LCM(
a, b
) ≤ 2,000,000,000
The number of data sets ≤ 50
Output
For each data set, print GCD and LCM separated by a single space in a line.
Sample Input
8 6
50000000 30000000
Output for the Sample Input
2 24
10000000 150000000",C,"#include<stdio.h>

int main(void){
    int a,b,c,tmp,tmp_a,tmp_b;
    while(scanf(""%d%d"", &a, &b)!=EOF){
        c = 1;
        if(b > a){tmp = a; a = b; b = tmp;}
        tmp_a = a;
        tmp_b = b;
        for(int i=2; i<=tmp_b; i++){
            while(tmp_b%i==0 && tmp_a%i==0){
                c = c*i;
                tmp_b = tmp_b / i;
                tmp_a = tmp_a / i;
            }
        }
        printf(""%d %d\n"", c, tmp_a*tmp_b*c);
    }
    return 0;
}

",1
p00005,"GCD and LCM
Write a program which computes the greatest common divisor (GCD) and the least common multiple (LCM) of given
a
and
b
.
Input
Input consists of several data sets. Each data set contains
a
and
b
separated by a single space in a line. The input terminates with EOF.
Constraints
0 <
a, b
≤ 2,000,000,000
LCM(
a, b
) ≤ 2,000,000,000
The number of data sets ≤ 50
Output
For each data set, print GCD and LCM separated by a single space in a line.
Sample Input
8 6
50000000 30000000
Output for the Sample Input
2 24
10000000 150000000",Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        
        while (sc.hasNext()) {
            long a = sc.nextLong();
            long b = sc.nextLong();
            
            long gcd = gcd(a, b);
            long lcm = (a / gcd) * b;
            
            System.out.println(gcd + "" "" + lcm);
        }
        
        sc.close();
    }
    
    static long gcd(long a, long b) {
        while (b != 0) {
            long temp = b;
            b = a % b;
            a = temp;
        }
        return a;
    }
}
",0
p00005,"GCD and LCM
Write a program which computes the greatest common divisor (GCD) and the least common multiple (LCM) of given
a
and
b
.
Input
Input consists of several data sets. Each data set contains
a
and
b
separated by a single space in a line. The input terminates with EOF.
Constraints
0 <
a, b
≤ 2,000,000,000
LCM(
a, b
) ≤ 2,000,000,000
The number of data sets ≤ 50
Output
For each data set, print GCD and LCM separated by a single space in a line.
Sample Input
8 6
50000000 30000000
Output for the Sample Input
2 24
10000000 150000000",Java,"import java.io.*;

public class Main{
	/*
	public static long findGcd(long f1, long f2){
		long gcd = 1;
		long max, min;
		if(f1 > f2){max = f1; min = f2;}
		else{max = f2; min = f1;}
		for(long i=1; i<=(long)(Math.sqrt(min)+1); i++){
			if(min % i == 0){
				long tmp = min / i;
				if((max % tmp) == 0){
					gcd = tmp;
					break;
				}
			}
		}
		return gcd;
	}
	*/
	static long findGcd(long x, long y){
        for(long i=1; i<=x; i++){
            if(y*i%x==0){
                return y*i;
            }
        }
        return 0;
    }
	
	public static long findlcm(long f1, long f2){
		long lcm = 0;
		long max, min;
		if(f1 > f2){max = f1; min = f2;}
		else{max = f2; min = f1;}
		long i=1;
		while(lcm == 0){
			if((max * i)%min == 0){
				lcm = max * i;
			}
			i++;
		}
		return lcm;
	}
	
	public static void main(String[] argv) throws NumberFormatException, IOException{
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		String line;
		while((line = br.readLine()) != null){
			String[] lineArray = line.split("" "");
			long[] factor = {Long.parseLong(lineArray[0]), Long.parseLong(lineArray[1])};
			long gcd = findGcd(factor[0], factor[1]);
			long lcm = findlcm(factor[0], factor[1]);
			System.out.println(gcd + "" "" + lcm);
		}
	}
}",1
p00005,"GCD and LCM
Write a program which computes the greatest common divisor (GCD) and the least common multiple (LCM) of given
a
and
b
.
Input
Input consists of several data sets. Each data set contains
a
and
b
separated by a single space in a line. The input terminates with EOF.
Constraints
0 <
a, b
≤ 2,000,000,000
LCM(
a, b
) ≤ 2,000,000,000
The number of data sets ≤ 50
Output
For each data set, print GCD and LCM separated by a single space in a line.
Sample Input
8 6
50000000 30000000
Output for the Sample Input
2 24
10000000 150000000",Python,"import sys
import math

for line in sys.stdin:
    a, b = map(int, line.split())
    gcd = math.gcd(a, b)
    lcm = (a * b) // gcd
    print(gcd, lcm)
",0
p00005,"GCD and LCM
Write a program which computes the greatest common divisor (GCD) and the least common multiple (LCM) of given
a
and
b
.
Input
Input consists of several data sets. Each data set contains
a
and
b
separated by a single space in a line. The input terminates with EOF.
Constraints
0 <
a, b
≤ 2,000,000,000
LCM(
a, b
) ≤ 2,000,000,000
The number of data sets ≤ 50
Output
For each data set, print GCD and LCM separated by a single space in a line.
Sample Input
8 6
50000000 30000000
Output for the Sample Input
2 24
10000000 150000000",Python,"import math

try:
 while 1:
  a,b=map(int,input().split())
  print(math.gcd(a,b),a*b// math.gcd(a, b))
except:
   pass
 ",1
p00006,"Reverse Sequence
Write a program which reverses a given string
str
.
Input
str
(the size of
str
≤ 20) is given in a line.
Output
Print the reversed
str
in a line.
Sample Input
w32nimda
Output for the Sample Input
admin23w",C,"#include <stdio.h>
#include <string.h>

int main() {
    char str[21];
    scanf(""%s"", str);
    int len = strlen(str);
    for (int i = len - 1; i >= 0; i--) {
        printf(""%c"", str[i]);
    }
    printf(""\n"");
    return 0;
}
",0
p00006,"Reverse Sequence
Write a program which reverses a given string
str
.
Input
str
(the size of
str
≤ 20) is given in a line.
Output
Print the reversed
str
in a line.
Sample Input
w32nimda
Output for the Sample Input
admin23w",C,"#include<stdio,h>
#include<string.h>
int main(){
char a[20];
int l,i;
scanf(""%s"",a);
l=strlen(a);
for(i=l-1;i>=0;i--)
printf(""%c"",a[i]);
return 0;
}",1
p00006,"Reverse Sequence
Write a program which reverses a given string
str
.
Input
str
(the size of
str
≤ 20) is given in a line.
Output
Print the reversed
str
in a line.
Sample Input
w32nimda
Output for the Sample Input
admin23w",Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String str = sc.next();
        StringBuilder sb = new StringBuilder(str);
        System.out.println(sb.reverse().toString());
        sc.close();
    }
}
",0
p00006,"Reverse Sequence
Write a program which reverses a given string
str
.
Input
str
(the size of
str
≤ 20) is given in a line.
Output
Print the reversed
str
in a line.
Sample Input
w32nimda
Output for the Sample Input
admin23w",Java,"import java.util.*;

class Main {
    public static void main (String [] args) {

        Scanner sc = new Scanner(System.in);

        char [] str = sc.next().toCharArray();
        for(int x = str.length-1; x >= 0; x--) {
            System.out.print(str[x]);
        }

        System.out.print(""\n"");
    }
}",1
p00006,"Reverse Sequence
Write a program which reverses a given string
str
.
Input
str
(the size of
str
≤ 20) is given in a line.
Output
Print the reversed
str
in a line.
Sample Input
w32nimda
Output for the Sample Input
admin23w",Python,"s = input()
print(s[::-1])
",0
p00006,"Reverse Sequence
Write a program which reverses a given string
str
.
Input
str
(the size of
str
≤ 20) is given in a line.
Output
Print the reversed
str
in a line.
Sample Input
w32nimda
Output for the Sample Input
admin23w",Python,"print(input()[::-1])
",1
p00007,"Debt Hell
Your friend who lives in undisclosed country is involved in debt. He is borrowing 100,000-yen from a loan shark. The loan shark adds 5% interest of the debt and rounds it to the nearest 1,000 above week by week.
Write a program which computes the amount of the debt in
n
weeks.
Input
An integer
n
(0 ≤
n
≤ 100) is given in a line.
Output
Print the amout of the debt in a line.
Sample Input
5
Output for the Sample Input
130000",C,"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    
    int debt = 100000;
    
    for (int i = 0; i < n; i++) {
        debt = debt * 105 / 100;
        if (debt % 1000 != 0) {
            debt = (debt / 1000 + 1) * 1000;
        }
    }
    
    printf(""%d\n"", debt);
    
    return 0;
}
",0
p00007,"Debt Hell
Your friend who lives in undisclosed country is involved in debt. He is borrowing 100,000-yen from a loan shark. The loan shark adds 5% interest of the debt and rounds it to the nearest 1,000 above week by week.
Write a program which computes the amount of the debt in
n
weeks.
Input
An integer
n
(0 ≤
n
≤ 100) is given in a line.
Output
Print the amout of the debt in a line.
Sample Input
5
Output for the Sample Input
130000",C,"main(){
    int n,a=100000; scanf(""%d"",&n);
    while(n--){
        a*=1.05;
        if(a%1000>0) a=(a/1000+1)*1000;
        else        a=a/1000*1000;
    }
    printf(""%d\n"",a);
    exit(0);
}",1
